Energy	X	Y	Z	Results	Rel Error
					
1e-05	131	-392	-392	0.0	0.0
1e-05	131	-392	-130	0.0	0.0
1e-05	131	-392	132	0.0	0.0
1e-05	131	-392	394	0.0	0.0
1e-05	131	-130	-392	0.0	0.0
1e-05	131	-130	-130	0.0	0.0
1e-05	131	-130	132	0.0	0.0
1e-05	131	-130	394	0.0	0.0
1e-05	393	-392	-392	0.0	0.0
1e-05	393	-392	-130	0.0	0.0
1e-05	393	-392	132	0.0	0.0
1e-05	393	-392	394	0.0	0.0
1e-05	393	-130	-392	0.0	0.0
1e-05	393	-130	-130	0.0	0.0
1e-05	393	-130	132	0.0	0.0
1e-05	393	-130	394	0.0	0.0
0.1	131	-392	-392	0.0	0.0
0.1	131	-392	-130	0.0	0.0
0.1	131	-392	132	0.0	0.0
0.1	131	-392	394	0.0	0.0
0.1	131	-130	-392	0.0	0.0
0.1	131	-130	-130	0.0	0.0
0.1	131	-130	132	0.0	0.0
0.1	131	-130	394	0.0	0.0
0.1	393	-392	-392	0.0	0.0
0.1	393	-392	-130	0.0	0.0
0.1	393	-392	132	0.0	0.0
0.1	393	-392	394	0.0	0.0
0.1	393	-130	-392	0.0	0.0
0.1	393	-130	-130	0.0	0.0
0.1	393	-130	132	0.0	0.0
0.1	393	-130	394	0.0	0.0
0.41399	131	-392	-392	0.0	0.0
0.41399	131	-392	-130	0.0	0.0
0.41399	131	-392	132	0.0	0.0
0.41399	131	-392	394	0.0	0.0
0.41399	131	-130	-392	0.0	0.0
0.41399	131	-130	-130	0.0	0.0
0.41399	131	-130	132	0.0	0.0
0.41399	131	-130	394	0.0	0.0
0.41399	393	-392	-392	0.0	0.0
0.41399	393	-392	-130	0.0	0.0
0.41399	393	-392	132	0.0	0.0
0.41399	393	-392	394	0.0	0.0
0.41399	393	-130	-392	0.0	0.0
0.41399	393	-130	-130	0.0	0.0
0.41399	393	-130	132	0.0	0.0
0.41399	393	-130	394	0.0	0.0
0.53158	131	-392	-392	0.0	0.0
0.53158	131	-392	-130	0.0	0.0
0.53158	131	-392	132	0.0	0.0
0.53158	131	-392	394	0.0	0.0
0.53158	131	-130	-392	0.0	0.0
0.53158	131	-130	-130	0.0	0.0
0.53158	131	-130	132	0.0	0.0
0.53158	131	-130	394	0.0	0.0
0.53158	393	-392	-392	0.0	0.0
0.53158	393	-392	-130	0.0	0.0
0.53158	393	-392	132	0.0	0.0
0.53158	393	-392	394	0.0	0.0
0.53158	393	-130	-392	0.0	0.0
0.53158	393	-130	-130	0.0	0.0
0.53158	393	-130	132	0.0	0.0
0.53158	393	-130	394	0.0	0.0
0.68256	131	-392	-392	0.0	0.0
0.68256	131	-392	-130	0.0	0.0
0.68256	131	-392	132	0.0	0.0
0.68256	131	-392	394	0.0	0.0
0.68256	131	-130	-392	0.0	0.0
0.68256	131	-130	-130	0.0	0.0
0.68256	131	-130	132	0.0	0.0
0.68256	131	-130	394	0.0	0.0
0.68256	393	-392	-392	0.0	0.0
0.68256	393	-392	-130	0.0	0.0
0.68256	393	-392	132	0.0	0.0
0.68256	393	-392	394	0.0	0.0
0.68256	393	-130	-392	0.0	0.0
0.68256	393	-130	-130	0.0	0.0
0.68256	393	-130	132	0.0	0.0
0.68256	393	-130	394	0.0	0.0
0.87643	131	-392	-392	0.0	0.0
0.87643	131	-392	-130	0.0	0.0
0.87643	131	-392	132	0.0	0.0
0.87643	131	-392	394	0.0	0.0
0.87643	131	-130	-392	0.0	0.0
0.87643	131	-130	-130	0.0	0.0
0.87643	131	-130	132	0.0	0.0
0.87643	131	-130	394	0.0	0.0
0.87643	393	-392	-392	0.0	0.0
0.87643	393	-392	-130	0.0	0.0
0.87643	393	-392	132	0.0	0.0
0.87643	393	-392	394	0.0	0.0
0.87643	393	-130	-392	0.0	0.0
0.87643	393	-130	-130	0.0	0.0
0.87643	393	-130	132	0.0	0.0
0.87643	393	-130	394	0.0	0.0
1.1253	131	-392	-392	0.0	0.0
1.1253	131	-392	-130	0.0	0.0
1.1253	131	-392	132	0.0	0.0
1.1253	131	-392	394	0.0	0.0
1.1253	131	-130	-392	0.0	0.0
1.1253	131	-130	-130	0.0	0.0
1.1253	131	-130	132	0.0	0.0
1.1253	131	-130	394	0.0	0.0
1.1253	393	-392	-392	0.0	0.0
1.1253	393	-392	-130	0.0	0.0
1.1253	393	-392	132	0.0	0.0
1.1253	393	-392	394	0.0	0.0
1.1253	393	-130	-392	0.0	0.0
1.1253	393	-130	-130	0.0	0.0
1.1253	393	-130	132	0.0	0.0
1.1253	393	-130	394	0.0	0.0
1.445	131	-392	-392	0.0	0.0
1.445	131	-392	-130	0.0	0.0
1.445	131	-392	132	0.0	0.0
1.445	131	-392	394	0.0	0.0
1.445	131	-130	-392	0.0	0.0
1.445	131	-130	-130	0.0	0.0
1.445	131	-130	132	0.0	0.0
1.445	131	-130	394	0.0	0.0
1.445	393	-392	-392	0.0	0.0
1.445	393	-392	-130	0.0	0.0
1.445	393	-392	132	0.0	0.0
1.445	393	-392	394	0.0	0.0
1.445	393	-130	-392	0.0	0.0
1.445	393	-130	-130	0.0	0.0
1.445	393	-130	132	0.0	0.0
1.445	393	-130	394	0.0	0.0
1.8554	131	-392	-392	0.0	0.0
